trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 1.0, 'e': 0.9974470184620149}",25,19,1.3801023860558819,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 1.0, 'e': 0.9973906252323237}",20,0,-45.71617865281704,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 1.0, 'e': 0.9973336167619825}",20,0,-93.1999105559416,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 1.0, 'e': 0.9972759930861571}",30,0,-215.18477073745447,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
95,False,"{'a': 1.0, 'e': 0.9972177542403927}",20,0,-39.341146048511554,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 1.0, 'e': 0.9971589002606139}",35,0,-98.46562130566718,"{0: 21, 1: 8, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 1.0, 'e': 0.9970994311831248}",20,0,-110.14662491091543,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 1.0, 'e': 0.997039347044609}",35,0,-149.1061400777408,"{0: 20, 1: 3, 2: 8, 3: 4, 4: 0}",0
99,False,"{'a': 1.0, 'e': 0.9969786478821293}",20,0,-145.842135001528,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
100,False,"{'a': 1.0, 'e': 0.996917333733128}",30,0,-73.24239737929457,"{0: 20, 1: 7, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 1.0, 'e': 0.9968554046354268}",20,0,-136.6240031535822,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
102,False,"{'a': 1.0, 'e': 0.9967928606272266}",20,0,-110.72346234417198,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
103,False,"{'a': 1.0, 'e': 0.9967297017471077}",25,0,-109.04787042807898,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
104,False,"{'a': 1.0, 'e': 0.9966659280340299}",20,0,-196.03843572762707,"{0: 6, 1: 3, 2: 7, 3: 2, 4: 2}",0
105,False,"{'a': 1.0, 'e': 0.9966015395273318}",20,0,-44.565719971949754,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 1.0, 'e': 0.9965365362667313}",25,0,-132.3832472775948,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
107,False,"{'a': 1.0, 'e': 0.9964709182923261}",20,14,0.7902223207550445,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 1.0, 'e': 0.9964046856445924}",20,2,-120.61729590462406,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
109,False,"{'a': 1.0, 'e': 0.9963378383643858}",20,0,-107.27489034192686,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
